App_Name,Content_Rating,Released,Free,Maximum_Installs
Toca Kitchen 2,Everyone,"May 25, 2015",True,153769168
Masha and the Bear. Educational Games,Everyone,"Sep 29, 2017",True,123688272
"Truck games for kids - build a house, car wash",Everyone,"Oct 16, 2018",True,114808798
Baby Panda's Supermarket,Everyone,"Feb 19, 2016",True,108975090
Coloring & Learn,Everyone,"Jul 19, 2016",True,81165199
Baby Panda's Fashion Dress Up Game,Everyone,"Oct 3, 2018",True,76954454
Monster Trucks Game for Kids 2,Everyone,"May 10, 2016",True,71857875
Baby Panda World,Everyone,"Nov 10, 2019",True,70957986
Little Panda Policeman,Everyone,"May 18, 2017",True,64859926
Cooking Mama: Let's cook!,Everyone,"May 14, 2015",True,63660606
