App_Name,Content_Rating,Released,Free,Maximum_Installs
شرطة الأطفال - مكالمة وهمية,Everyone,"May 19, 2014",True,36058501
"Pregnancy + | tracker app, week by week in 3D",Everyone,"Jan 28, 2013",True,28050322
Find My Kids: Child Cell Phone Location Tracker,Everyone,"Jun 17, 2015",True,27803570
Pregnancy Tracker + Countdown to Baby Due Date,Everyone,"Mar 11, 2011",True,25907607
Be Closer - Share your location,Everyone,"Feb 5, 2019",True,21269898
"India's #1 Pregnancy,Parenting & Baby Products App",Teen,"May 31, 2019",True,8424428
My baby Piano,Everyone,"Sep 20, 2011",True,6603186
Zoemob Family Locator,Everyone,"Dec 28, 2011",True,6371896
Policía de niños - para padres,Everyone,"Jul 11, 2017",True,6243191
theAsianparent: Track Pregnancy & Count Baby Kicks,Teen,"May 1, 2016",True,5541423
